commit,line,message,time,ngram,leven,code,flag
-1206.0,-75734.0,11.0,54927.0,13.0,89.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,17.0,71.0,9.0,3.0
-1206.0,-75734.0,11.0,54927.0,7.0,197.0,14.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,34.0,5.0,1.0
-1206.0,-75734.0,11.0,54927.0,9.0,135.0,12.0,3.0
-1206.0,-75734.0,11.0,54927.0,22.0,49.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,15.0,80.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,33.0,114.0,21.0,1.0
-1206.0,-75734.0,11.0,54927.0,25.0,37.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,32.0,28.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,30.0,31.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,94.0,8.0,1.0
-1206.0,-75734.0,11.0,54927.0,43.0,71.0,18.0,1.0
-1206.0,-75734.0,11.0,54927.0,28.0,32.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,8.0,161.0,15.0,3.0
-1206.0,-75734.0,11.0,54927.0,23.0,46.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,11.0,113.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,29.0,30.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,21.0,54.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,98.0,8.0,1.0
-1206.0,-75734.0,11.0,54927.0,7.0,177.0,13.0,3.0
-1206.0,-75734.0,11.0,54927.0,10.0,508.0,39.0,1.0
-1206.0,-75734.0,11.0,54927.0,31.0,29.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,186.0,13.0,1.0
-1206.0,-75734.0,11.0,54927.0,42.0,143.0,24.0,1.0
-1206.0,-75734.0,11.0,54927.0,27.0,34.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,15.0,74.0,9.0,3.0
-1206.0,-75734.0,11.0,54927.0,8.0,166.0,14.0,3.0
-1206.0,-75734.0,11.0,54927.0,29.0,32.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,28.0,35.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,28.0,34.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,27.0,36.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,55.0,35.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,34.0,5.0,1.0
-1206.0,-75734.0,11.0,54927.0,44.0,135.0,12.0,3.0
-1206.0,-75734.0,11.0,54927.0,45.0,53.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,57.0,31.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,186.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,8.0,794.0,42.0,1.0
-1206.0,-75734.0,11.0,54927.0,32.0,98.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,55.0,34.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,30.0,5.0,1.0
-1206.0,-75734.0,11.0,54927.0,42.0,158.0,22.0,1.0
-1206.0,-75734.0,11.0,54927.0,19.0,39.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,45.0,54.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,33.0,91.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,40.0,67.0,9.0,3.0
-1206.0,-75734.0,11.0,54927.0,44.0,57.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,49.0,45.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,55.0,35.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,133.0,10.0,1.0
-1206.0,-75734.0,11.0,54927.0,56.0,33.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,51.0,41.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,54.0,36.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,55.0,34.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,28.0,114.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,57.0,31.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,11.0,1108.0,67.0,1.0
-1206.0,-75734.0,11.0,54927.0,36.0,80.0,10.0,3.0
